Mission ID,Distance [m],Elevation [m],Cargo [kg],Battery Level,Time of Day [h],Traffic Level,Mode,Energy [kJ]
1096,163.63,-2.6,6.13,0.774,15.0,low,normal,567.657
1097,261.42,-1.5,2.58,0.893,12.0,medium,normal,558.238
1098,145.91,0.2,4.96,0.659,3.0,low,priority,317.912
1099,58.0,1.0,0.0,0.69,5.0,low,normal,134.379
1100,272.79,0.3,2.59,0.759,2.0,low,normal,431.359
1101,99.48,0.2,7.09,0.966,0.0,medium,normal,306.944
1102,200.12,2.9,4.71,0.546,1.0,low,normal,513.964
1103,166.5,-1.5,7.91,0.658,13.0,high,normal,643.294
1104,191.29,-0.1,3.98,0.611,16.0,medium,priority,453.265
1105,140.48,-0.1,1.46,0.627,6.0,low,normal,212.492
1106,140.73,-1.2,1.7,0.593,14.0,medium,normal,302.347
1107,185.55,1.0,4.1,0.71,11.0,medium,normal,456.292
1108,169.43,-0.8,2.32,0.531,21.0,low,normal,309.903
1109,166.54,1.1,4.79,0.856,19.0,low,priority,436.955
1110,105.1,-1.7,2.76,0.717,2.0,medium,normal,280.468
1111,188.58,-3.3,3.35,0.8,5.0,low,normal,485.158
1112,97.3,-4.6,1.41,0.454,10.0,medium,normal,404.474
1113,219.59,3.1,5.31,0.611,5.0,medium,normal,629.078
1114,153.36,-2.2,9.25,0.461,21.0,high,normal,633.849
1115,131.58,-1.0,2.62,0.316,20.0,low,priority,297.052
1116,267.72,-3.2,8.52,0.672,7.0,low,normal,780.795
1117,147.81,-0.2,0.9,0.929,5.0,high,normal,249.492
1118,93.49,-1.0,0.0,0.669,8.0,low,normal,175.139
1119,141.23,-0.9,7.27,0.813,8.0,high,normal,443.156
1120,61.8,1.9,2.74,0.871,2.0,medium,normal,225.502
1121,130.79,-2.0,9.11,0.966,18.0,low,normal,523.355
1122,152.99,-0.3,3.97,0.705,21.0,high,normal,376.268
1123,163.59,2.7,6.93,0.383,1.0,low,normal,587.469
1124,193.72,-4.7,3.76,0.36,7.0,medium,priority,623.878
1125,203.91,0.1,7.63,0.598,19.0,low,normal,516.146
1126,199.19,-1.1,3.79,0.891,6.0,medium,normal,432.461
1127,,-1.1,0.96,0.974,20.0,medium,normal,381.909
1128,76.73,0.6,1.54,0.294,20.0,medium,normal,164.937
1129,83.76,2.2,6.53,,0.0,medium,normal,414.04
1130,34.6,0.4,4.89,0.499,6.0,medium,normal,165.982
1131,81.82,-0.3,1.17,0.92,8.0,low,priority,147.553
1132,108.6,-3.8,5.79,0.473,17.0,high,normal,576.326
1133,71.51,0.7,6.85,0.875,7.0,low,normal,277.219
1134,175.76,0.5,0.0,0.506,12.0,medium,normal,251.409
1135,229.37,1.6,0.0,0.776,23.0,low,normal,329.43
1136,154.31,-2.6,3.81,0.75,14.0,low,normal,448.928
1137,142.23,0.5,1.56,0.728,14.0,medium,normal,232.433
1138,227.04,-0.4,5.65,0.747,6.0,medium,priority,566.265
1139,153.49,1.5,3.68,0.832,23.0,low,normal,362.552
1140,110.78,-0.1,7.11,0.445,11.0,high,normal,420.402
1141,280.8,-3.3,2.77,,6.0,medium,normal,611.426
1142,224.23,-1.1,1.24,0.824,7.0,high,normal,363.695
1143,75.28,0.5,2.25,0.32,17.0,low,normal,158.633
1144,278.25,-1.8,7.23,0.672,2.0,low,normal,675.016
1145,236.79,-4.5,0.0,0.432,6.0,low,normal,427.971
1146,269.76,2.8,0.0,,10.0,medium,normal,522.797
1147,147.96,0.3,6.1,0.972,20.0,medium,priority,443.484
1148,151.15,4.3,6.22,0.891,2.0,medium,normal,641.238
1149,70.21,2.1,4.3,0.539,3.0,,priority,324.959
1150,214.01,-0.3,3.05,0.779,4.0,low,priority,389.397
1151,95.71,-3.0,2.26,0.952,14.0,high,normal,391.079
1152,37.28,0.3,6.52,0.796,23.0,medium,normal,173.078
1153,59.13,-2.7,2.88,0.412,21.0,low,normal,227.6
1154,97.09,0.1,7.55,0.736,0.0,low,normal,275.23
1155,268.36,-3.8,8.17,0.861,0.0,medium,priority,938.918
1156,218.05,1.4,3.67,0.671,15.0,medium,priority,559.751
1157,150.85,-2.4,1.31,0.981,4.0,low,normal,317.781
1158,100.92,3.5,2.86,0.641,11.0,medium,normal,409.284
1159,180.2,,3.96,0.669,11.0,medium,priority,589.636
1160,147.25,0.9,2.17,0.39,10.0,medium,normal,313.057
1161,244.7,1.9,5.69,0.979,17.0,medium,normal,724.636
1162,229.29,-2.5,4.88,0.69,4.0,medium,normal,560.235
1163,120.22,-0.0,7.28,0.582,5.0,low,normal,341.485
1164,113.46,1.7,1.31,0.532,0.0,medium,normal,235.19
1165,220.98,1.2,7.15,0.422,13.0,medium,normal,722.282
1166,102.09,0.6,3.02,0.73,8.0,low,priority,226.647
1167,231.58,-0.9,6.83,0.57,12.0,medium,priority,729.085
1168,86.72,1.3,6.86,0.669,0.0,low,normal,351.357
1169,266.86,0.7,3.39,0.669,0.0,medium,normal,491.173
1170,331.92,-2.6,3.54,0.608,17.0,medium,normal,781.79
1171,129.02,1.7,1.57,0.794,5.0,medium,normal,281.489
1172,188.29,-4.1,2.08,0.638,14.0,medium,priority,601.964
1173,92.8,0.3,0.0,0.861,15.0,medium,normal,132.762
1174,173.59,2.4,1.61,0.959,1.0,medium,normal,368.779
1175,28.9,-0.7,6.56,0.894,6.0,medium,normal,163.813
1176,149.32,2.2,0.0,0.69,5.0,low,normal,271.823
1177,99.58,1.4,6.71,0.659,15.0,medium,normal,415.192
1178,208.74,0.4,0.0,0.36,5.0,medium,normal,296.558
1179,58.03,-1.2,5.44,0.769,1.0,medium,normal,212.732
1180,278.48,-1.6,6.02,0.533,21.0,medium,normal,665.669
1181,124.41,0.3,0.48,0.617,9.0,medium,normal,200.08
1182,182.2,-0.1,5.69,0.929,9.0,medium,normal,447.366
1183,207.68,3.4,3.51,0.517,2.0,medium,normal,532.268
1184,191.48,0.2,7.15,0.573,15.0,high,normal,582.724
1185,177.73,1.8,1.17,0.537,7.0,low,priority,340.944
1186,194.99,0.7,5.88,0.697,2.0,medium,normal,485.834
1187,198.12,-1.3,0.59,0.616,23.0,low,normal,281.586
1188,46.69,0.1,0.83,0.72,15.0,high,priority,80.676
1189,90.62,0.3,4.42,0.843,23.0,low,normal,212.17
1190,254.59,3.3,2.79,0.88,16.0,medium,normal,677.68
1191,89.55,-0.7,0.0,0.76,7.0,low,normal,118.893
1192,212.06,1.7,1.52,0.572,12.0,high,normal,468.556
1193,191.69,-1.6,1.86,0.337,0.0,low,normal,355.198
1194,90.23,1.7,4.93,0.295,19.0,low,normal,304.993
1195,63.13,-0.1,0.84,0.939,5.0,low,normal,123.07
1196,66.94,-0.2,4.89,0.973,2.0,low,priority,191.426
1197,48.51,-0.6,8.44,0.727,13.0,high,normal,301.76
1198,164.91,-2.8,7.99,0.998,18.0,low,normal,550.411
1199,173.6,1.3,4.98,0.568,23.0,low,normal,442.485
1200,123.24,2.2,9.19,0.549,,low,normal,552.321
1201,28.47,-2.0,,0.789,23.0,low,normal,151.956
1202,201.78,4.2,0.0,0.287,1.0,low,normal,389.286
1203,125.93,2.3,1.96,0.358,12.0,high,normal,406.247
